,Agency,Base Pay,Other Pay,Overtime Pay,Total Pay,Benefits,Total Pay & Benefits,City
229,Santa Monica-Malibu Unified,237868,10800,0,248668,53863,302531,Malibu
230,Whittier City Elementary,234443,5861,0,240304,61841,302145,Whittier
231,Murrieta Valley Unified,248268,1261,0,249529,52323,301852,Murrieta
232,Pittsburg Unified,240000,13222,0,253222,48483,301705,Pittsburg
233,Ocean View-Ventura,216732,36679,0,253411,47933,301344,Ventura
234,Hueneme Elementary,222079,21576,0,243655,57532,301188,Port Hueneme
235,Pajaro Valley Unified,230550,2400,0,232950,68009,300960,Grass Valley
236,San Mateo-Foster City,235522,20190,0,255712,45023,300735,Foster City
237,Porterville Unified,235547,7375,0,242923,57544,300467,Porterville
238,Loomis Union Elementary,223922,21177,0,245100,55320,300421,Union City
239,Brentwood Union Elementary,237053,2853,0,239907,60369,300276,Brentwood
240,Tulare County Office of Education,254131,0,0,254131,46137,300268,Tulare
241,William S. Hart Union High,202710,37125,0,239836,59018,298855,Union City
242,Berryessa Union Elementary,246681,0,0,246681,51991,298672,Union City
243,Portola Valley Elementary,217499,2100,0,219599,78624,298224,Portola
244,Patterson Joint Unified,242269,0,0,242269,55645,297915,Patterson
245,Roseville City Elementary,226114,7200,0,233314,63576,296890,Roseville
246,Solano County Office of Education,245000,0,0,245000,51491,296491,Norco
247,Tamalpais Union High,230625,300,0,230925,65541,296466,Union City
248,San Luis Coastal Unified,219578,19253,0,238831,57265,296097,San Bernardino
249,Novato Unified,232714,8855,0,241569,54521,296090,Novato
250,Larkspur-Corte Madera,234163,9999,0,244162,51865,296028,Larkspur
251,Buena Park Elementary,220210,16243,0,236453,59484,295937,Buena Park
252,Upper Lake Unified,194317,58692,0,253009,42102,295111,Blue Lake
253,Oakley Union Elementary,214825,33423,0,248248,46406,294655,Oakley
254,Enterprise Elementary,211263,7784,0,219047,75488,294535,Perris
255,Ocean View-Orange,238945,6000,0,244945,48814,293759,Orange
256,Oak Park Unified,228492,12127,0,240619,53006,293626,Buena Park
257,Cabrillo Unified,207445,10515,0,217960,74713,292674,Camarillo
258,Temecula Valley Unified,226420,15719,0,242139,50396,292535,Temecula
259,Hilmar Unified,207858,32234,0,240092,51811,291903,Marina
260,Perris Elementary,241004,0,0,241004,50456,291460,Perris
261,Carlsbad Unified,247490,0,0,247490,43612,291102,Carlsbad
262,Salinas Union High,231415,0,0,231415,59540,290956,Salinas
263,North Monterey County Unified,200602,1135,20642,222379,68515,290895,Monterey
264,Lincoln Unified,227718,6000,0,233718,57150,290868,Lincoln
265,Berkeley Unified,231165,750,0,231915,58930,290845,Berkeley
266,Bellflower Unified,222593,8818,0,231411,59095,290507,Bell
267,Encinitas Union Elementary,229812,22387,0,252199,38193,290392,Encinitas
268,Colton Joint Unified,233508,2187,0,235695,54336,290031,Colton
269,Scotts Valley Unified,229606,2065,0,231671,57849,289521,Scotts Valley
270,Cotati-Rohnert Park Unified,226763,5624,0,232387,56979,289367,Cotati
271,Piedmont City Unified,229475,0,0,229475,59611,289086,Piedmont
272,Alameda Unified,234166,7580,0,241747,47005,288752,Alameda
273,Empire Union Elementary,227752,13439,0,241192,46622,287814,Union City
274,Chowchilla Elementary,224006,13906,0,237913,49524,287438,Chowchilla
275,Cambrian,215633,19847,0,235481,51930,287411,American Canyon
276,Santee School District,210058,34912,0,244970,42055,287025,Santee
277,Santa Maria-Bonita,228916,6000,0,234916,51987,286904,Santa Maria
278,Centinela Valley Union High,234275,0,0,234275,52395,286670,Fountain Valley
279,Walnut Creek Elementary,206435,44236,0,250671,35957,286628,Walnut
280,Westminster School District,238309,0,0,238309,48263,286572,Westminster
281,Rosemead Elementary,198744,23741,0,222485,63644,286129,Rosemead
282,Oxnard School District,235000,0,0,235000,50973,285973,Oxnard
283,Valley Center-Pauma Unified,220418,18336,0,238754,46752,285507,Fountain Valley
284,Lakeside Union Elementary-San Diego,214655,13200,0,227855,57333,285188,San Diego
285,Yucaipa-Calimesa Joint Unified,228842,2756,0,231598,52818,284416,Calimesa
286,Alum Rock Union Elementary,218543,9200,0,227743,56635,284378,Union City
287,Ventura Unified,229456,500,0,229956,53934,283890,Ventura
288,Alisal Union,215000,11451,0,226451,57028,283479,Ione
289,Long Beach City College,223347,0,0,223347,59275,282622,Long Beach
290,Imperial Valley College,210000,15995,0,225995,56602,282598,Imperial
291,Bassett Unified,205493,16182,0,221675,60690,282365,Bakersfield
292,Merced City Elementary,36447,241110,0,277557,4685,282242,Merced
293,Woodland Joint Unified,235389,0,0,235389,46529,281918,Woodland
294,Cypress Elementary,232751,0,0,232751,48973,281724,Cypress
295,Monterey Peninsula College,219855,3996,0,223851,57300,281151,Monterey
296,Delano Union Elementary,223625,2633,0,226258,54669,280927,Delano
297,Garvey Elementary,201144,4800,0,205944,74827,280771,Hemet
298,New Haven Unified,235711,0,0,235711,44995,280706,Avenal
299,Sulphur Springs Union,206347,22147,0,228494,51870,280364,Palm Springs
300,Liberty Union High,213710,8310,0,222020,57828,279849,Union City
301,South Monterey County Joint Union High,222500,7020,0,229520,49583,279103,Monterey
302,Carmel Unified,135000,135000,0,270000,8746,278746,Greenfield
303,Palomar College,229508,9470,0,238978,39612,278590,La Palma
304,Lafayette Elementary,225773,6089,0,231862,46097,277959,Lafayette
305,Alta Loma Elementary,237644,0,0,237644,39713,277357,Loma Linda
306,National Elementary,210492,3300,0,213792,63189,276981,Hemet
307,Las Virgenes Unified,225063,9153,0,234216,42692,276908,Irvine
308,Turlock Unified,220701,3000,0,223701,53193,276894,Turlock
309,Kings Canyon Joint Unified,220124,6711,0,226835,49930,276766,American Canyon
310,Visalia Unified,254473,1200,0,255673,20947,276621,Visalia
311,El Rancho Unified,215004,21850,0,236854,39569,276423,El Cajon
312,Los Nietos,214657,0,0,214657,61295,275952,Los Altos
313,Jefferson Elementary-San Joaquin,207207,6180,0,213388,62435,275823,San Joaquin
314,Temecula Valley Unified,193953,43201,0,237154,38653,275807,Temecula
315,Rio Elementary,211635,0,0,211635,64147,275782,Rio Dell
316,Central Unified,209276,14043,0,223320,52451,275771,Ventura
317,Greenfield Union Elementary,218400,6000,0,224400,51111,275511,Greenfield
318,Solana Beach Elementary,219300,0,0,219300,55605,274905,Solana Beach
319,Travis Unified,226730,0,0,226730,47097,273828,Davis
320,Coronado Unified,205054,16655,0,221709,52064,273773,Corona
321,Antelope Valley College,233925,0,0,233925,38873,272799,Fountain Valley
322,Newman-Crows Landing Unified,214752,17537,0,232289,40281,272571,Newman
323,El Monte Union High,214085,11617,0,225702,46863,272565,El Monte
324,Delano Joint Union High,209150,12336,0,221486,50775,272262,Delano
325,Plumas Lake Elementary,214369,16190,0,230560,41594,272154,Big Bear Lake
326,Saugus Union,205000,1392,0,206392,65500,271893,Ione
327,Sanger Unified,220532,0,0,220532,51040,271573,Sanger
328,Western Placer Unified,199352,17961,0,217313,53458,270772,Exeter
329,Madera County Superintendent of Schools,222438,480,0,222918,47850,270768,Madera
330,Feather River College,214139,7200,0,221339,49232,270571,Exeter
331,Woodside Elementary,202750,6676,0,209426,61080,270507,Hemet
332,Lindsay Unified,211362,10684,7411,229457,40718,270175,Lindsay
333,Hemet Unified,230685,6000,0,236685,33063,269748,Hemet
334,Albany City Unified,211122,9973,0,221096,47788,268884,Albany
335,Valle Lindo Elementary,203188,16723,0,219911,48566,268477,Hemet
336,Helendale Elementary,198170,24479,0,222649,45613,268262,Glendale
337,Yuba City Unified,213920,6597,0,220517,47611,268129,Yuba City
338,Santa Paula Unified,225500,5033,0,230533,37489,268022,Santa Paula
339,Eureka City Schools,202486,20259,0,222745,44633,267378,Eureka
340,Orchard Elementary,220000,3375,0,223375,43534,266909,Hemet
341,Dublin Unified,228066,0,0,228066,38400,266466,Dublin
342,Antelope Valley Union High,183196,10390,0,193586,71736,265322,Fountain Valley
343,Modesto City Schools,175000,3800,0,178800,86489,265289,Modesto
344,San Ysidro Elementary,200158,240,0,200398,64528,264926,San Bernardino
345,Cardiff Elementary,199500,23359,0,222859,41985,264844,Hemet
346,Mountain View Elementary-Los Angeles,215486,3016,0,218502,45664,264166,Los Angeles
347,Folsom-Cordova Unified,249124,0,0,249124,15004,264128,Folsom
348,Calexico Unified,200430,3600,0,204030,59247,263277,Calexico
349,Central Union High,199201,7200,0,206401,56505,262907,Union City
350,Imperial Unified,207724,477,0,208201,54089,262291,Imperial
351,King City Union,211973,0,0,211973,50274,262247,King City
352,Metro Education,186080,22614,0,208695,53530,262225,Ione
353,Hollister School District,209000,0,0,209000,53148,262148,Hollister
354,Duarte Unified,217944,6459,0,224403,37294,261697,Duarte
355,Lake Tahoe Community College,200224,6875,0,207099,53689,260789,Big Bear Lake
356,Sonoma Valley Unified,210860,5575,0,216436,43985,260421,Sonoma
357,Merced Union High,196504,18787,0,215291,45004,260295,Merced
358,Moorpark Unified,204228,0,0,204228,55067,259295,Moorpark
359,Soledad Unified,185146,6078,0,191224,67799,259023,Soledad
360,Pacifica-San Mateo,212040,900,0,212940,45972,258912,Pacifica
361,Etiwanda Elementary,213047,9292,0,222339,36312,258651,Hemet
362,Ripon Unified,197232,14114,0,211347,46962,258309,Ripon
363,Shasta Union High,209856,0,0,209856,48390,258247,Shasta Lake
364,State of California,156604,3832,0,160437,97668,258105,California City
365,Snowline Joint Unified,211076,0,0,211076,46998,258074,Ione
366,Moraga Elementary,221171,0,0,221171,36769,257940,Hemet
367,Gonzales Unified,194854,13053,0,207908,49817,257726,Gonzales
368,Apple Valley Unified,211962,0,0,211962,45695,257658,Grass Valley
369,San Carlos Elementary,207499,0,0,207499,50047,257547,San Carlos
370,Marysville Joint Unified,207200,14,0,207214,49791,257005,Marysville
371,Azusa Unified,216700,2796,0,219496,36604,256100,Azusa
372,Newhall,200000,13130,0,213130,42329,255459,Newark
373,Dinuba Unified,194844,12403,0,207247,48209,255456,Dinuba
374,Needles Unified,178500,28392,0,206892,47644,254536,Needles
375,Ramona City Unified,205000,0,0,205000,49262,254262,Amador City
376,Baldy View ROP,204472,4309,0,208781,45048,253829,Morro Bay
377,Mountain View Elementary-San Bernardino,210337,8270,0,218607,35125,253732,Mountain View
378,Atwater Elementary,204904,1000,0,205904,47816,253720,Atwater
379,Rancho Santa Fe Elementary,197499,0,0,197499,55465,252964,Rancho Cordova
380,Lucia Mar Unified,203316,4572,0,207888,44931,252819,Del Mar
381,Shasta County Office of Education,204492,1200,0,205692,46599,252291,Mount Shasta
382,Kelseyville Unified,183778,28132,0,211911,40337,252248,Emeryville
383,Guerneville Elementary,171533,32283,0,203816,48125,251942,Hemet
384,Selma Unified,183800,23654,0,207454,44300,251755,Selma
385,Torrance Unified,160091,57263,0,217354,34267,251621,Torrance
386,Humboldt County Office of Education,197789,0,0,197789,53823,251612,Clayton
387,Buckeye Union Elementary,181646,31424,0,213070,38485,251556,Union City
388,Romoland Elementary,205506,0,0,205506,45644,251150,Orland
389,Twin Hills Union Elementary,198495,8919,0,207415,43647,251062,Agoura Hills
390,Santa Rita Union Elementary,200475,373,0,200848,49747,250596,Santa Ana
391,Oxnard Union High,199266,1936,0,201202,49048,250251,Oxnard
392,Hart-Ransom Union Elementary,202184,4500,0,206684,43192,249876,Union City
393,Los Banos Unified,195100,1000,0,196100,53447,249547,Los Banos
394,Upland Unified,182066,12292,0,194358,55030,249388,Upland
395,Burton Elementary,192033,8255,0,200288,49096,249384,Hemet
396,Livingston Union,191676,8856,0,200532,48624,249156,Livingston
397,Loma Prieta Joint Union Elementary,211124,0,0,211124,37720,248845,Loma Linda
398,Dixon Unified,186594,4385,0,190979,57659,248638,Dixon
399,Little Lake City Elementary,199117,0,0,199117,49403,248520,Amador City
400,Southern California ROC,178805,17450,0,196255,52073,248328,California City
401,Carpinteria Unified,185468,6200,0,191668,54564,246232,Carpinteria
